
#S 84  LISAKscan2 energy Edge Tint dPoint iMach
#D Sat Jun 08 18:07:28 2024
#T 2  (Seconds)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G3 0 0 0 0 0 0 0 0 0
#G4 0
#Q 
#P0  11.199983 10.170212 8.5778827 0 -3.395 5.395125 1.0641
#P1 61.064425 62.1285 30 2 -4.395 67.999998 23.999999 1443.3495
#P2 49.150794 -0.33209877 0.32 0.17777778 54 60.000028 13.4 -12.5
#P3 101.7 50.479531 131.35 44.999997 0.01 -1 -10 74
#P4 0 300 300 -38.799855 7.6197105 
#UMI0     Current AutoM      Shutter    
#UMI1      199.34    ON     FE open     
#UMI2 Refill in 3153 sec, Fill Mode: 7/8 multibunch / Message: Jun  8 18:01 Delivery:Next Refill at 19:00; 
#N 44
#L energy    Epoch  ebragg  epitch  srcur  I0_eh2  I1_eh2  IX_eh2  IR_eh2  c8  VPOS_enc  HPOS2_enc  RBENCH_enc  EBENCH_enc  ROT_enc  HPOS1_enc  fluo01  fluo02  fluo03  fluo04  fluo05  fluo06  fluo07  fluo08  fluo09  fluo10  fluo11  fluo12  fluo13  I0_eh1  I1_eh1  IX_eh1  c9  volt1  volt2  sdd  ebraggc  e1pv  e1sp  e1op  e1wsp  Oxford503  Seconds  Seconds
10.953009  209696.992 8549791 38100307 199.32266 248238 99146 444746 0 0 -17820 -5703 -15005 147056 -76 -2354 517.14137 1201.2177 880.36141 0 971.60693 1518.6957 1148.1207 1110.6273 1461.0234 719.09338 1327.9511 969.05792 0 43584 0 2000027 0 0.012207404 -0.0048829615 0 8549488.3 0 0 0 0 0 2.000001 2.000001
10.963018  209700.593 8542352 38100307 199.31267 247942 99735 448973 0 0 -17820 -5703 -15005 147056 -76 -2354 603.39267 1376.1429 951.04798 0 1077.3592 1481.8937 1243.5117 1225.1572 1417.1027 698.11941 1422.4 996.07292 0 43518 0 2000026 0 0.0073244423 -0.0048829615 0 8542358.1 0 0 0 0 0 2.000001 2.000001
10.973004  209704.199 8534735 38100307 199.30364 247725 100385 452374 0 0 -17820 -5703 -15005 147056 -76 -2354 608.23963 1414.6203 939.97973 0 1175.6575 1618.8114 1368.1223 1353.6698 1553.6219 688.85491 1497.992 1040.1901 0 43469 0 2000027 0 0.012207404 -0.0048829615 0 8534745.1 0 0 0 0 0 2.000001 2.000001
10.983008  209707.815 8527035 38100307 199.29921 247469 101003 457114 0 0 -17820 -5703 -15005 147056 -76 -2354 665.4888 1558.4033 982.93159 0 1321.1703 1758.9663 1478.3859 1416.6314 1717.56 769.35709 1657.2656 1073.1694 0 43408 0 2000027 0 0.0073244423 -0.0048829615 0 8527045.3 0 0 0 0 0 2.000001 2.000001
10.992989  209711.409 8519364 38100307 199.28966 247256 101658 461400 0 0 -17820 -5703 -15005 147056 -76 -2354 673.00901 1751.8606 1097.9059 0 1446.0955 1883.0371 1561.8443 1573.1784 1958.1844 811.58527 1799.1737 1188.0943 0 43352 0 2000027 0 0.0073244423 -0.0048829615 0 8519373.1 0 0 0 0 0 2.000001 2.000001
11.002988  209715.043 8511719 38100307 199.2801 247074 102349 465622 0 0 -17820 -5703 -15005 147056 -76 -2354 805.80546 2018.0012 1271.1093 0 1500.1107 2041.675 1840.2645 1754.8518 2096.9948 951.42036 2078.5707 1224.0552 0 43305 0 2000027 0 0.012207404 -0.0048829615 0 8511732.3 0 0 0 0 0 2.000001 2.000001
11.013006  209718.663 8504092 38100308 199.27073 246799 102967 468914 0 0 -17820 -5703 -15005 147056 -76 -2354 867.00232 2176.6643 1582.2498 0 1778.1123 2230.1742 1903.7059 1979.8766 2298.6547 1163.785 2404.673 1516.0278 0 43238 0 2000027 0 0.0073244423 -0.0048829615 0 8504105.1 0 0 0 0 0 2.000001 2.000001
11.023001  209722.279 8496514 38100308 199.2609 246577 103609 473470 0 0 -17820 -5703 -15005 147056 -76 -2354 1059.6399 2562.5646 2371.151 0 2051.875 2537.4653 2414.7152 2358.7173 2674.3261 1397.402 2667.9263 1588.1191 0 43181 0 2000027 0 0.0073244423 -0.0048829615 0 8496526.4 0 0 0 0 0 2.000001 2.000001
11.033014  209725.866 8488955 38100307 199.25692 246310 104202 477427 0 0 -17820 -5703 -15005 147056 -76 -2354 1196.8922 3012.1017 3097.3962 0 2497.0768 3083.3049 2768.2261 2615.7445 3072.9317 1443.3162 3109.7202 1915.4559 0 43121 0 2000027 0 0.0073244423 -0.0048829615 0 8488969.2 0 0 0 0 0 2.000001 2.000001
11.043003  209729.487 8481467 38100307 199.24754 246070 104855 480781 0 0 -17820 -5703 -15005 147056 -76 -2354 1406.0996 3510.5543 3269.6169 0 2855.8468 4209.6477 3328.6752 3217.3555 3687.4681 1782.1568 3767.4647 2229.8553 0 43061 0 2000028 0 0.0073244423 -0.0048829615 0 8481483.5 0 0 0 0 0 2.000001 2.000001
11.053011  209733.117 8473904 38100308 199.23905 245857 105475 483348 0 0 -17820 -5703 -15005 147056 -76 -2354 1763.963 4610.5421 2987.1538 0 3781.1894 5323.9639 4177.2957 4019.9179 4793.9061 2155.4892 4768.9455 2605.8437 0 43010 0 2000027 0 0.0073244423 -0.0048829615 0 8473921.2 0 0 0 0 0 2.000001 2.000001
